Jname	Jarticles	nWave_ap	MedianWave_ap	Q25Wave_ap	Q75Wave_ap	nWave_ra	MedianWave_ra	Q25Wave_ra	Q75Wave_ra	nWave_rp	MedianWave_rp	Q25Wave_rp	Q75Wave_rp
Front Neurosci	338	338				338	82	53	107	338			
Front Oncol	426	426				426	68.5	44	95	426			
Front Pediatr	46	46				46	46.5	24	74	46			
Front Pharmacol	228	228				228	58	40	93	228			
Front Physiol	503	503				503	73	42.5	103	503			
Front Plant Sci	690	690				690	70	48	89	690			
Front Psychiatry	222	222				222	76	50	116	222			
Front Psychol	1359	1359				1359	93	63	134	1359			
Front Public Health	72	72				72	44.5	22	80	72			
Front Synaptic Neurosci	10	10				10	69	58	76	10			
Front Syst Neurosci	136	136				136	94.5	66.5	134	136			
Front. Zool.	37	37				37	119	71	176	37			
Frontline Gastroenterol	10	10	189.5	113	232	10	54.5	3	112	10	224.5	209	235
Funct. Integr. Genomics	35	35	64	49	98	35	112	80.5	143.5	35	183	173	207
Fundam Clin Pharmacol	36	36	403.5	339.5	484.5	36	144	116	219	36	571	496	631.5
Fungal Biol	81	81	51	42	75	81	149	106	209	81	224	161	366
Fungal Biol Rev	1	1				1				1			
Fungal Genet. Biol.	126	126	80.5	65	108	126	102.5	69	148	126	205	154	272
G3 (Bethesda)	31	31	54	47.5	62	31	65	34.5	88	31	118	87	141.5
Gac Sanit	96	96				96	84.5	68	106.5	96			
Gait Posture	296	296	174	127	194	296	219	152.5	274	296	361	300	448
Games Econ Behav	1	1				1				1			
Gastric Cancer	112	112	312.5	287	334	112	121	98	158	112	428.5	390	473
Gastroenterol Hepatol	43	43	199	125	308	43	12	4	48	43	208	159.5	324.5
Gastroenterol Hepatol Bed Bench	41	41				41	64	58	72	41		88	
Gastroenterol Res Pract	244	244				244	65.5	40	95	244			
Gastroenterology	371	371	102	91	113	371	116	61	190.5	371	222	162.5	299
Gastrointest Cancer Res	6	6		29		6	46.5	28	60	6	46	25	60
Gastrointest. Endosc.	321	321	137	120	162	321	87	59	157	321	241	188	326
Geburtshilfe Frauenheilkd	23	23	27	10	61	23	79	29.5	118	23	123	52.5	210.5
Gen Hosp Psychiatry	183	183				183	88	61	129	183			
Gen Thorac Cardiovasc Surg	145	145	387	199		145	181	94		145	313	207	415
Gen. Comp. Endocrinol.	438	438	107	89	130	438	94	62	135	438	221	172	256
Gen. Physiol. Biophys.	53	53	194	144	220	53	109	76	155	53	302	270	345
Gene	1147	1147	100	90	114	1147	94	64	141	1147	203	164	251
Gene Expr. Patterns	49	49		164		49	106	75	165	49		291	
Gene Ther.	66	66	186	161	220	66	128	86	159	66	316	280	354
Genes (Basel)	13	13				13	48	40	53	13			
Genes Brain Behav.	79	79	72	48	95.5	79	120	76	142	79	182	156	229
Genes Cancer	14	14		267		14	87	55	98	14	94	51	533
Genes Cells	91	91	99	89	106.5	91	47	25	89	91	147	120	199
Genes Chromosomes Cancer	95	95	117	108	135	95	105	65	147.5	95	228	189.5	262.5
Genes Genomics	1	1				1				1			
Genes Immun.	39	39		131		39	72	66	101.5	39		245	
Genes Nutr	61	61	163	128	207	61	102	63	141	61	274	233	337
Genesis	81	81	92	74	108	81	64	37	145	81	169	131	210
Genet Res Int	15	15				15	80	75.5	104	15			
Genet. Epidemiol.	97	97	93	84	115	97	128	87	146	97	221	185	261
Genet. Med.	115	115	209	191	249.5	115	78	47.5	112	115	287	236.5	345
Genet. Mol. Biol.	88	88	111.5	97	138	88	131	94.5	174	88	242	219	282
Genet. Sel. Evol.	34	34				34	177	155	209	34		21	
Genetica	44	44	45	19.5		44	173	125.5	240	44	197	155	269
Genome Announc	229	229	35	13	67	229	11	7	18	229	41	21	69
Genome Biol.	83	83				83	133	105	165	83			
Genome Integr	4	4				4				4			
Genome Med	61	61				61	108	73	140	61			
Genomics	103	103	97	73	131.5	103	109	65.5	162	103	236	149.5	268
Genomics Inform	19	19	10	8	24.5	19	27	23	53.5	19	47	32.5	91
Genomics Proteomics Bioinformatics	39	39	43	23.5	92	39	46	15	73	39	97	49	182
Geobiology	47	47	90	79	101	47	129	91	188.5	47	225	198	274
Geochem. Trans.	3	3				3				3			
Geoderma	1	1				1				1			
Ger Med Sci	21	21				21				21		67	
Geriatr Nurs	42	42				42	157	108	242	42			
Germs	9	9	3	2	12	9	48	38	60	9	60	38	90
Gerontology	99	99		123		99	121	81.5	162	99	184	87	307
Gigascience	8	8				8	93.5	77.5	149	8			
Gland Surg	12	12		23.5		12	29.5	27	33	12	12.5	9	46
Glia	168	168	123	110.5	134.5	168	126	84	186.5	168	270.5	214	309
Glob Cardiol Sci Pract	75	75				75	55	20	104.5	75			
Glob Chang Biol	350	350	137	122	148	350	78	42	121	350	209.5	180	264
Glob Change Biol Bioenergy	2	2				2				2			
Glob Health Action	81	81		51		81	90	74	159	81	154	116	
Glob Health Sci Pract	27	27	82	60	93	27	98	67	147.5	27	177	156.5	265
Glob Heart	15	15	25	18	81	15	38	16	61.5	15	66	46	124
Glob J Health Sci	71	71	90	70	116	71	21	16	33	71	119	99	144.5
Global Health	28	28				28	149.5	123.5	204	28		79	
Global Spine J	41	41	136	70	203	41	98	70	170	41	245	169	377
Glycoconj. J.	52	52	197	140.5	275.5	52	63.5	47	85	52	281	222	330.5
GMS Z Med Ausbild	48	48		100.5		48	149	116.5	172	48	155	35.5	
Graefes Arch. Clin. Exp. Ophthalmol.	313	313	129	97	194	313	113	83	151	313	259	212	338
Ground Water	45	45				45	167	145	209	45			
Growth Horm. IGF Res.	33	33	109	102	123	33	152	118	185	33	257	231	322
Gut Liver	113	113	265	234	287	113	73	47	114	113	344	287	386
Gut Pathog	15	15				15	36	29.5	50	15			
Gynecol Obstet Fertil	76	76	69	52	233.5	76	154.5	35.5	246	76	236.5	92	405
Gynecol Oncol Case Rep	71	71				71	53	38	60	71			
Gynecol Surg	1	1				1				1			
Gynecol. Obstet. Invest.	117	117		171		117	194	112	281	117	311	150	
Gynecol. Oncol.	398	398	88	79	98	398	61.5	46	83	398	150	134	183
Hamostaseologie	41	41		97		41	59	43	90	41	198	156	
Harm Reduct J	14	14				14	351.5	267	574	14	731	302	
Head Face Med	15	15				15	80	47.5	96	15		34.5	
Head Neck	71	71	390	385.5	415.5	71	201	140.5	258.5	71	596	529.5	686
Head Neck Pathol	72	72	172	22	226	72	72	40	144	72	211.5	184	292
Health Care Manag Sci	30	30	280.5	213	312	30	179	125	240	30	449	402	558
Health Econ	97	97	409	386	445	97	360	258	456	97	769	650	865
Health Econ Rev	14	14				14	105	81	168	14		86	
Health Info Libr J	26	26	165.5	105	203	26	439.5	278	542	26	578	458	767
Health Place	138	138	91	65	105	138	209	146	270	138	285	247	365
Health Policy	194	194	98.5	72	147	194	207	162	269	194	309	260	403
Health Promot J Austr	13	13	71	28	133	13	181	137	250	13	255	238	309
Health Promot Perspect	41	41				41	98	82	107	41			
Health Psychol Behav Med	7	7				7	75	66.5	109	7			
Health Psychol Rev	1	1				1				1			
Health Qual Life Outcomes	108	108				108	149.5	121	200.5	108		83	
Health Res Policy Syst	32	32				32	160	114	195	32		76.5	
Health Syst (Basingstoke)	1	1				1				1			
Healthc Inform Res	16	16				16	69.5	40.5	130.5	16	101	16	118
Hear. Res.	183	183	115	82.5	173.5	183	131	79	175	183	283	211	332
Heart Asia	4	4				4				4			
Heart Int	4	4				4				4			
Heart Lung	96	96				96	171	84	239	96			
Heart Lung Circ	178	178	196	155	233	178	75	33	117	178	284	227	333
Heart Rhythm	257	257				257				257	179	148	229
Heart Vessels	137	137	364	327	396	137	131	99	170	137	499	443	534
Hell J Nucl Med	33	33				33	40	22	55	33			
Hematol Oncol	23	23	327	305.5	376.5	23	97	73.5	139	23	454	397	488
Hematol Oncol Stem Cell Ther	11	11				11	78	37.5	122.5	11			
Hematol Rep	18	18		18		18	89	73	117	18	203	128	
Hemodial Int	15	15				15				15	327	292.5	357.5
Hepat Mon	157	157				157	91	46	135	157		173	
Hepat Res Treat	21	21				21	66	47	92	21			
Hepatobiliary Surg Nutr	22	22	132.5	101	172	22	31	30	33	22	141	126	192
Hepatol Int	3	3				3				3			
Hepatol. Res.	172	172	301	270	384.5	172	78	46.5	132.5	172	386	331	487
Hepatology	415	415	167	149	189	415	116	76.5	155.5	415	292	246	344
Hered Cancer Clin Pract	9	9				9	140	110	228	9		88	
Heredity (Edinb)	72	72	169	155	186	72	158.5	124	216	72	338	289.5	401
Hernia	136	136	205.5	94.5	400	136	179.5	126	258.5	136	437	268.5	615.5
Herpesviridae	1	1				1				1			
Herz	87	87	320	274	365	87	57	27	94.5	87	377	326.5	434
Herzschrittmacherther Elektrophysiol	24	24	31.5	30	58	24	20	4	28	24	59	50	82.5
High Blood Press Cardiovasc Prev	48	48	119.5	67.5	230.5	48	39	25.5	50.5	48	129	91.5	203
HIM J	1	1				1				1			
Hippocampus	34	34	132.5	113	137	34	137	114	194	34	281	241	330
Hist Cienc Saude Manguinhos	34	34	425	333		34	213	153	397	34	759	547	
Histopathology	173	173	122	107	136	173	92	60	120	173	205	175	245
HIV AIDS (Auckl)	1	1				1				1			
Homeopathy	18	18	64	54	97	18	211.5	148	396	18	296.5	227	466
Homo	39	39	132	100	166	39	246	183	377.5	39	380	332	520.5
Horm Behav	179	179	51	34	75.5	179	132	98	159.5	179	193	155	234
Horm Cancer	30	30	119	111	134	30	61	43	78	30	194	149	215
Horm Mol Biol Clin Investig	19	19	45	44	74.5	19	44	18.5	56	19	102	71	121
Horm Res Paediatr	174	174				174	115	89	147	174		65	
HPB (Oxford)	82	82	280	160	341	82	86.5	60	123	82	377.5	252	430
HPB Surg	22	22				22	108.5	102	124	22			
HSS J	43	43	94	76	180	43	142	93	223	43	270	216	368
Hum Brain Mapp	234	234	494	365	574	234	156	112	221	234	656	507	754
Hum Ecol Risk Assess	1	1				1				1			
Hum Mov Sci	98	98	166	135	200	98	289.5	182	372	98	450	346	579
Hum Psychopharmacol	73	73	94	63	124	73	146	87	195	73	247	184	296
Hum Resour Health	31	31				31	199	143.5	265.5	31		188	
Hum. Cell	19	19	154	108.5	193.5	19	65	51	87	19	224	149.5	331
Hum. Genet.	118	118	116	104	131	118	94	64	127	118	211	175	251
Hum. Genomics	13	13				13	42	23	76	13			
Hum. Hered.	20	20				20	103.5	83	157	20		500	
Hum. Immunol.	243	243	108	94	114	243	144	113	186	243	255	213	296.5
Hum. Mutat.	199	199	103	90.5	118	199	112	83	151	199	216	185	255
Hum. Pathol.	348	348	204	171	243.5	348	72	50	104	348	282	247	322.5
Hypertens. Res.	109	109	201	194	212	109	103	63	144	109	309	263	344
IMA Fungus	16	16	100	68.5	112.5	16	92	59.5	157	16	193	154	214
Imaging Sci Dent	25	25	138	116	169	25	53	42	79	25	204	171	261
Immun Ageing	37	37				37	116	80	165	37		1	
Immune Netw	15	15	34	6		15	18	17	24	15	24	16	40
Immunity	106	106	100	79	122	106	190	138	241	106	274	233	349
Immunobiology	124	124	228	164	286	124	129.5	70.5	170.5	124	369.5	283.5	441
Immunogenetics	83	83	98	86.5	105	83	66	44	93.5	83	157	141	199
Immunol. Cell Biol.	46	46	76	66	99	46	98	49	122	46	168.5	135	222
Immunol. Lett.	96	96	55	26		96	91	64	114	96	143.5	94	
Immunol. Rev.	3	3				3				3			
Immunology	66	66	142.5	125	156	66	84.5	62	134	66	232.5	196	290
Implement Sci	72	72				72	164.5	66.5	224	72		80	
In Silico Pharmacol	30	30				30	56	25	84	30			
In Vitro Cell. Dev. Biol. Anim.	122	122	78.5	45	104	122	101	71	147	122	183.5	141	243
Indian Heart J	100	100				100	163.5	118	211	100			
Indian J Clin Biochem	96	96	249	172	319.5	96	81	51.5	122.5	96	342	280	405
Indian J Community Med	21	21	201	197	260	21	313	194	438	21	573	385	696
Indian J Gastroenterol	85	85	140	103	156	85	219	173	310	85	365	310	450
Indian J Hematol Blood Transfus	85	85	495	460	566	85	126	90	227	85	653	589	740
Indian J Otolaryngol Head Neck Surg	133	133	215	109	493	133	78	46	150	133	330	200	549
Indian J Pediatr	302	302	216.5	132	305	302	170	117	239	302	406	260	536
Indian J Pharm Sci	78	78	56.5	30		78	173	139	260	78	209	170	255
Indian J Pharmacol	82	82				82	202.5	144	285	82			
Indian J Plant Physiol	4	4				4				4			
Indian J Surg	181	181	361	263	502	181	207	108	547	181	797	544	963
Indian J Surg Oncol	105	105	134	102	165	105	87	35	180	105	238	183	318
Indian J Virol	59	59	121	53	142	59	162	119	222	59	267	204	320
Indian J. Microbiol.	98	98	208	153	253	98	70.5	14	118	98	290	194	374
Indian Pediatr	71	71	202	178	230	71	155	114.5	258	71	360	303	499.5
Indoor Air	48	48	235	221.5	249.5	48	133	88	164.5	48	365	295	423.5
Inf Retr Boston	1	1				1				1			
Infant Behav Dev	53	53	121	79	155	53	179	140	267	53	348	275	387
Infect Chemother	31	31	94	74		31	122	96	501	31	193	120.5	219
Infect Dis Obstet Gynecol	32	32				32	91.5	72	120	32		97.5	
Infect Dis Poverty	12	12				12	71	54	96	12			
Infect Dis Rep	22	22	215	107		22	98	0	111	22	107	53	205
Infect Dis Ther	11	11				11				11	172	118.5	184
Infect Disord Drug Targets	16	16				16	193.5	57.5	265.5	16		168.5	
Infect Ecol Epidemiol	23	23				23	141	90.5	181	23			
Infect. Agents Cancer	32	32				32	98.5	65	149	32			
Infect. Genet. Evol.	400	400	98	84.5	121	400	91	64	120	400	199	162	248.5
Infection	155	155	157	120	178	155	97	66	127	155	255	233	270.5
Inflamm Allergy Drug Targets	17	17	49	13	64	17	73	52	125	17	114	86	155
Inflamm. Res.	108	108	91	81.5	108	108	142	103	212	108	236	197.5	310
Inflammopharmacology	25	25	162	90	263	25	64	43	80	25	223	162	358
Influenza Res Treat	12	12				12	58	47	104	12			
Injury	292	292	175.5	123	256	292	112.5	80.5	161	292	311.5	252	418
Inorganica Chim Acta	4	4				4				4			
Insect Biochem. Mol. Biol.	118	118	84	69	96	118	74.5	46	107	118	156	127	199
Insectes Soc	1	1				1				1			
Insights Imaging	84	84	93.5	63.5	106	84	82.5	36.5	105	84	167	109	221
Int Arch Med	33	33				33	109	84	162	33		136	
Int Arch Occup Environ Health	97	97	376	350	399	97	180	154	234	97	563	515	617
Int Braz J Urol	87	87				87	180	124	213.5	87			
Int Breastfeed J	10	10				10	250.5	217	283	10		85	
Int Cardiovasc Res J	16	16	41	19.5	76.5	16	57	25.5	79	16	105.5	76.5	125.5
Int Emerg Nurs	49	49	316	280	363	49	100	65	156	49	429	386	503
Int Endod J	138	138	245.5	226	274	138	142.5	98	202	138	400	348	460
Int Forum Allergy Rhinol	92	92	178.5	141.5	218.5	92	109	68.5	161.5	92	281.5	247	339.5
Int J Adolesc Med Health	57	57	223	151	344	57	48	42	60	57	260	117	380
Int J Adolesc Youth	1	1				1				1			
Int J Alzheimers Dis	33	33				33	61	40	90	33			
Int J Anal Chem	22	22				22	69	63	96	22			
Int J Appl Basic Med Res	19	19		73		19	227	196	267	19	252	151	312.5
Int J Behav Nutr Phys Act	81	81				81	191	158	242	81		129	
Int J Biochem Mol Biol	22	22				22	22	15	37	22			
Int J Biomater	28	28				28	93.5	66	134.5	28			
Int J Biomed Imaging	56	56				56	97.5	83	143.5	56			
Int J Biomed Sci	17	17	65	41	92	17	28	24	31	17	84	28	103
Int J Biometeorol	137	137	354	325	412	137	161	104	234	137	535	480	607
Int J Bipolar Disord	32	32				32	50	34	79	32			
Int J Breast Cancer	31	31				31	63	54	87.5	31			
Int J Burns Trauma	39	39				39	33	21	50.5	39			
Int J Cardiovasc Imaging	187	187	148	118	176	187	102	63.5	147.5	187	259	201	329
Int J Cell Biol	82	82				82	68	46	90	82			
Int J Circumpolar Health	62	62				62	68	47	108	62		72	
Int J Clin Exp Med	210	210				210	32	21	41	210			
Int J Clin Exp Pathol	535	535				535	28	20	39	535			
Int J Clin Pediatr Dent	63	63				63	85	61	115	63	83	52.5	
Int J Clin Pharm	110	110	103	95	126	110	165	116	220	110	276	239	328
Int J Clin Pract Suppl	2	2				2				2			
Int J Comput Assist Radiol Surg	139	139	227	192	246	139	123	89.5	154.5	139	333	294	397.5
Int J Comput Vis	2	2				2				2			
Int J Cosmet Sci	68	68	133	109	161.5	68	99	65	116	68	235.5	183	253.5
Int J Cult Ment Health	1	1				1				1			
Int J Dent	100	100				100	77	53	119	100			
Int J Eat Disord	15	15	157	146.5	169.5	15	154	119.5	204	15	339	274	405.5
Int J Emerg Med	27	27				27	119	95.5	174	27		83.5	
Int J Endocrinol	315	315				315	78	48	105	315			
Int J Endocrinol Metab	28	28	169	150.5		28	95	50.5	142	28	203	81.5	309.5
Int J Environ Res Public Health	181	181	15	8		181	50	39	63	181	55	43	72
Int J Equity Health	62	62				62	150.5	117	183	62		122	
Int J Evol Biol	17	17				17	69	48	108	17			
Int J Exp Pathol	34	34	135	106	148	34	109	96	155	34	250	165	308
Int J Family Med	25	25				25	92	65	109	25		95	
Int J Fertil Steril	52	52	181	151.5	237	52	224	128	285	52	405	343.5	466
Int J Gen Med	3	3				3				3			
Int J Genomics	66	66				66	89.5	63	112	66			
Int J Geriatr Psychiatry	145	145	316	282	336	145	136	101	189	145	439	403	501
Int J Gynaecol Obstet	302	302	101	98	110	302	148	109	180	302	253	216	284
Int J Health Care Finance Econ	14	14	92	74	110	14	322	165	470	14	419.5	293	562
Int J Health Geogr	29	29				29	78	59	100	29		21	
Int J Health Plann Manage	58	58				58	210.5	130	318	58			
Int J Health Policy Manag	33	33		38		33	17	13	51	33	64	39	
Int J Hematol Oncol Stem Cell Res	32	32				32	18	14	26	32			
Int J Hepatol	54	54				54	82	50	109	54		21	
Int J High Risk Behav Addict	36	36	121.5	83		36	64	10	136.5	36	226	138	
Int J Hyg Environ Health	122	122	287	226	335	122	168.5	132	250	122	478.5	423	512
Int J Hypertens	93	93				93	70	51	87	93		41	
Int J Inflam	49	49				49	61	38	91	49			
Int J Integr Care	55	55				55	226	142	290	55		80	
Int J Lab Hematol	77	77	217	130	257	77	65	25	117	77	294	150	377
Int J Med Chem	23	23				23	69	57	79	23		77	
Int J Med Inform	127	127	121	96	165.5	127	213	146	291.5	127	347	268.5	456
Int J Med Robot	24	24	337.5	243.5	384	24	204	151.5	274	24	509	417.5	628.5
Int J Med Sci	353	353				353	102	71	142	353		94	
Int J Ment Health Syst	21	21				21	58	38	77	21		74	
Int J Methods Psychiatr Res	10	10	447	273	612	10	170	154	190	10	609	463	818
Int J Microbiol	37	37				37	62	54	80	37			
Int J Mol Cell Med	11	11				11	24	21	34	11			
Int J Mol Epidemiol Genet	40	40				40	26	15	39	40			
Int J Mol Imaging	18	18				18	96.5	67	129	18		80	
Int J Mol Sci	677	677				677	50	33	71	677			
Int J Nanomedicine	22	22				22				22			
Int J Nephrol	35	35				35	70	54	123.5	35		117	
Int J Nephrol Renovasc Dis	2	2				2				2			
Int J Numer Method Biomed Eng	91	91	163	145.5	177.5	91	195	124.5	238.5	91	351	299	410
Int J Nurs Stud	157	157	230	205	262	157	216	157	267	157	440	382	516
Int J Obes (Lond)	180	180	265.5	187	285.5	180	128	84	168	180	373	327	421.5
Int J Obstet Anesth	66	66	112	91	152	66	131.5	109	206	66	287	208	329
Int J Occup Environ Med	13	13	38	33	69	13	74	56	78	13	111	96	166
Int J Occup Med Environ Health	53	53	141	36	219	53	228	162	285	53	292	257	392
Int J Older People Nurs	9	9	528	509	591	9	185	142	261	9	764	724	789
Int J Ophthalmol	240	240				240	154.5	98.5	230	240		71	
Int J Oral Maxillofac Surg	231	231	172	132	212.5	231	209	149	265.5	231	396	304	455
Int J Oral Sci	49	49	84	66	137	49	171	159	234	49	245	203	352
Int J Otolaryngol	30	30				30	71	61	106	30			
Int J Parasitol Drugs Drug Resist	7	7	178	129	321	7	155	55	251.5	7	401	342	427
Int J Parasitol Parasites Wildl	23	23	218	120.5	261	23	66	54	107	23	317	244.5	344
Int J Pediatr	33	33				33	72	50	111	33			
Int J Pediatr Endocrinol	10	10				10	95	60	116	10		64	
Int J Pept	22	22				22	89.5	67	99	22		42	
Int J Pharm	857	857	76	55	97	857	82	60	110	857	163	125	209
Int J Pharm Pract	51	51	328	309.5	361	51	252	219	312	51	589	530	690
Int J Physiol Pathophysiol Pharmacol	39	39				39	41	33	62.5	39			
Int J Plant Genomics	8	8				8	78.5	69	87	8		19	
Int J Prev Med	170	170	143	66	341	170	89.5	30	181	170	306	119	454
Int J Proteomics	22	22				22	97.5	75	120	22	80	59	
Int J Psychol	17	17	360	322	434	17	355	148	502	17	738	528	916
Int J Psychophysiol	205	205	76	50	133	205	146	104	197	205	235	192	296
Int J Public Health	72	72	232	161	290	72	193.5	145	300.5	72	444.5	349.5	540
Int J Rheumatol	32	32				32	65	49.5	74.5	32			
Int J Stomatol Occlusion Med	4	4				4				4			
Int J Stroke	33	33	490	425	511	33	101	65	137	33	580	517	645
Int J Surg	256	256				256	100	59.5	150.5	256		83	
Int J Surg Case Rep	457	457				457	62	26	106	457		105	
Int J Surg Oncol	31	31				31	97	60	127	31			
Int J Telemed Appl	21	21				21	114	84	120	21		23	
Int J Thermophys	2	2				2				2			
Int J Tryptophan Res	1	1				1				1			
Int J Vasc Med	34	34				34	76	54	95	34			
Int J Womens Health	3	3				3				3			
Int Marit Health	35	35				35	0	0	0	35			
Int Neurourol J	17	17				17	15	5	31	17		32	
Int Ophthalmol	138	138	269	220	317	138	104	50	225	138	391	315	500
Int Orthop	386	386	86	70	105	386	32	10	57	386	126	101	151
Int Urogynecol J	249	249	225	197	251	249	92	63	129	249	322	275	373
Int Urol Nephrol	215	215	185	72	275.5	215	66	42	99	215	253	124	382
Int Wound J	30	30	711.5	51	737	30	65.5	39	107	30	764	165	801
Int. Arch. Allergy Immunol.	167	167		147		167	148	101.5	178	167	289	128.5	
Int. Biodeterior. Biodegradation	2	2				2				2			
Int. Immunopharmacol.	352	352	66	46	111	352	90.5	55.5	145	352	166	113	230
Int. J. Antimicrob. Agents	216	216	112	101	125	216	67.5	41.5	107	216	185	149	220
Int. J. Biochem. Cell Biol.	325	325	87	76	98	325	96	68	131	325	186	154	226
Int. J. Biol. Macromol.	579	579	93	83	103	579	59	44	77.5	579	154	136	174
Int. J. Biol. Sci.	168	168				168	67	49.5	109	168			
Int. J. Cancer	651	651	215	206	230	651	113	74.5	153	651	333	291	384.5
Int. J. Cardiol.	870	870	258	116	553	870	140	90	194	870	391.5	285	658
Int. J. Clin. Oncol.	125	125	416	374	456	125	117	71	181	125	499	439	553
Int. J. Clin. Pract.	78	78	164	126	191	78	74	49	110	78	246	202	285
Int. J. Dermatol.	2	2				2				2			
Int. J. Dev. Neurosci.	87	87	135	101.5	206.5	87	127	75.5	164	87	258	196	376
Int. J. Drug Policy	149	149	158	102	203	149	156	109	209	149	334	260	374
Int. J. Food Microbiol.	387	387	70	56	81	387	129	95	174.5	387	199	161	252
Int. J. Hematol.	241	241	44	27	54	241	94	62	152	241	145	101	203
Int. J. Immunogenet.	50	50	243	218	289	50	131.5	77	209	50	404	326	466
Int. J. Impot. Res.	33	33		271		33	213	147	302	33		498	
Int. J. Infect. Dis.	211	211	171	142	202.5	211	85	43	145	211	267	225	338
Int. J. Legal Med.	164	164	220.5	146.5	309.5	164	82	55	120	164	304	236.5	397.5
Int. J. Med. Microbiol.	66	66	84	56	109	66	99	66	151	66	191	142	276
Int. J. Mol. Med.	461	461	80	69	97	461	60	53	70	461	143	130	161
Int. J. Oncol.	527	527	87	73	108	527	49	43	56	527	136	122	161
Int. J. Parasitol.	103	103	106	90	125	103	65	50	89	103	174	159	208.5
Int. J. Pediatr. Otorhinolaryngol.	453	453	79	70	94	453	82	61	113	453	165	139	200
Int. J. Primatol.	7	7		106		7	69	37.5	96	7		151.5	
Int. J. Radiat. Oncol. Biol. Phys.	442	442	138	119	169	442	88	63	125	442	234	195	302
Int. J. Urol.	159	159	231	160	258	159	112	69	161	159	358	227	408
Integr Environ Assess Manag	100	100	137.5	82	203	100	107.5	86.5	161	100	264	160.5	395.5
Intelligence	1	1				1				1			
Intensive Care Med	218	218	103.5	90	124	218	106.5	34	171	218	222	134	286
Intensive Crit Care Nurs	34	34	191	176	222	34	219.5	180	343	34	453.5	372	511
Interact J Med Res	15	15				15	96	69	150.5	15		92.5	
Interdiscip Perspect Infect Dis	19	19				19	93	32	142.5	19			
Interdiscip Sci	41	41	108	80	176	41	156	156	197	41	283	236	456
Interdiscip Toxicol	21	21	42	13		21	45	24	101	21	108	44	204
