Jname	MedianWave_ap	Q25Wave_ap	Q75Wave_ap	MedianWave_ra	Q25Wave_ra	Q75Wave_ra	MedianWave_rp	Q25Wave_rp	Q75Wave_rp
Open Nurs J				99	70	138.5		82	
Open Ophthalmol J				65.5	55	94		84	
Open Orthop J				83	41.5	108		67.5	
Open Respir Med J				60	54	71			
Open Rheumatol J				71	44	93			
Open Virol J				57	35	78		44	
Oper Orthop Traumatol	98	74	109	140	136	144	242	207	245
Ophthalmic Physiol Opt	95	68	109	117	74.5	159	224	181	241
Ophthalmic Res.		152.5		101	44.5	130	240	88	
Ophthalmic Surg Lasers Imaging Retina				137	93	223			
Ophthalmol Ther							193	128	195.5
Ophthalmologica		282		103	58	164	350	113	
Ophthalmology	189	168	202	132	99	182	321	283	367
Opt Laser Technol									
Oral Dis	335	296	376.5	94	56	169.5	448	394.5	523.5
Oral Maxillofac Surg	425.5	323	491	119.5	88	163.5	535.5	477	622
Oral Oncol.	113	92	132	73	54	106	192	165	248
Oral Radiol									
Oral Surg Oral Med Oral Pathol Oral Radiol	160.5	112	268.5	96	64.5	138.5	271	222	401
Org Electron									
Org Med Chem Lett				94	57	117	297	17	
Org Process Res Dev									
Organometallics							69	53	83
Orig Life Evol Biosph	73	34	86	58	52	160	119	83	222
ORL J. Otorhinolaryngol. Relat. Spec.				104	81	169		87	
Orphanet J Rare Dis				83	65	120		122	
Orthod Fr	106	96	198	35.5	8	70	143	117	248
Orthop Rev (Pavia)		100		49.5	22	113		161	
Orthop Surg	119.5	93	163	56.5	38	99	179.5	128	256
Orthop Traumatol Surg Res	153	106.5	186	152	90	238.5	327	261	431
Osong Public Health Res Perspect	43	38	56	11	9	34	68	45	86
Osteoarthr. Cartil.	89	79	103	151	117	188	235.5	214	283
Osteoporos Int	208.5	191	253.5	95.5	61.5	144	327	269	392.5
OTJR (Thorofare N J)				200	164	207	72	63	
Otolaryngol Pol				41.5	22	58			
Oxid Med Cell Longev				61	44	85			
Pacing Clin Electrophysiol	169.5	138	214	97	61	159.5	295	227	367
Paediatr Respir Rev									
Pain	110	96	121	131	79	187	247	195	308
Pain Manag Nurs	870	514	1002	171	81	240	989	711	1143
Pain Pract	338	277	372	95	60	146	428	355	511
Pain Res Treat				65	42	95			
Pain Ther							170	102	190
Pak J Med Sci	46	32	76	106	69	145	143	118	192
Palaeogeogr Palaeoclimatol Palaeoecol									
Pan Afr Med J				87	25	168		285	
Pancreatology				98.5	64	133			
Parasit Vectors				71	43	109			
Parasite				95	65	138.5			
Parasite Immunol.	103.5	64.5	130.5	91.5	53	148	178	146	293
Parasitol. Int.	136	116	148	160	94	240	293.5	216	387
Parasitol. Res.	85	75	98.5	65.5	33	123.5	160	120	205.5
Parkinsonism Relat. Disord.	117	105	142	120	81	164	248	198	292
Parkinsons Dis				56	40.5	89		94.5	
Part Fibre Toxicol				137	104.5	176.5			
Pastor Care Educ									
Pathobiol Aging Age Relat Dis				59	38	173			
Pathobiology	206	164		90	55	130	302	179	373
Pathog Dis	68	52	124	106	59	161	175	132	236
Pathogens				37	29	49			
Pathol. Biol.	192	13	324	97	32	264	325	49	517
Pathol. Int.	30	15	44	110	67	144	134	96	195
Pathol. Oncol. Res.	164	126.5	190	152	108	240.5	311	258.5	389
Pathol. Res. Pract.	84	75	108	117	83	166	206	169	277
Patholog Res Int				79	46.5	105			
Pathophysiology	293	28		168	62.5	226	131.5	95.5	208.5
Patient Educ Couns	128	103	154	186.5	144	247	323	260	394
Patient Prefer Adherence									
Patient Saf Surg				62	40	71			
Pattern Recognit									
Pediatr Allergy Immunol Pulmonol	72.5	47	131	50	7	96	103	93	227
Pediatr Blood Cancer	181	159	212	79	45	136	279	228	337
Pediatr Cardiol	188	158	310	76	50	99.5	266	213	367
Pediatr Diabetes	225	204	253	98	63	140	326	271	372
Pediatr Gastroenterol Hepatol Nutr		24		20	8	28	54	12	162
Pediatr Int	164	141	178	173	110	287	359	280	484
Pediatr Neonatol	240	179	316.5	198	137	329	462	371	563
Pediatr Neurosurg				125.5	89	168			
Pediatr Obes	367	156	469	127	81	176	507	266	625
Pediatr Radiol	194	152	213	103	72	134	296	256	339
Pediatr Rep		75.5		85	55	107.5		98.5	
Pediatr Rheumatol Online J				121	101	139		75	
Pediatr. Nephrol.	168	141	302	94.5	50.5	150	306	235	404.5
Pediatr. Neurol.	139	115	161	77	48	105	220	186	264
Pediatr. Pulmonol.	353	317	382	138	94.5	181	491.5	432.5	549.5
Pediatr. Res.	209	198	220	128	101	158	333	298	367
PeerJ				54	36	88		17	
Peptides	67	56	81	46.5	33	78	123.5	95	154
Perioper Med (Lond)				134.5	84.5	194.5			
Pers Individ Dif									
Personal Ment Health	199	186	245	204	131	223	420	330	452
Persoonia	150	150	241	113	91.5	122	266	244	367.5
Perspect Psychiatr Care	307	244.5	337.5	176	118.5	234	452	415	508.5
Pest Manag. Sci.	258	214	289	149	116	202.5	423	364.5	462
Pestic Biochem Physiol	89	54	112.5	130.5	74.5	186	208.5	175	284
Pflugers Arch.	165	95	190.5	49	27	80.5	217	164	267
Pharm Pract (Granada)				143	82	266	132	79	443
Pharm Stat				175	133	252			
Pharm. Res.	128	110.5	156	102.5	75	143.5	232.5	202.5	288
Pharmaceuticals (Basel)				55	36	74			
Pharmaceutics				68	43	88			
Pharmacoepidemiol Drug Saf	110	93	151	157	120	223	282	228	360
Pharmacogenomics J.	391.5	313	476	117	86	146	524	450	585
Pharmacogn Mag		23		402	353.5	425.5	370	341	400
Pharmacogn Rev				245	227	302	135	88	168
Pharmacognosy Res	39	6		261	229	305.5	274	238.5	306.5
Pharmacol Rep							265.5	123	
Pharmacol Res Perspect									
Pharmacol. Biochem. Behav.	65	47	85	121.5	84	172	194	147	246
Pharmacol. Res.	77	70	95	78	39	108	164	132	192
Pharmacol. Ther.	121	106	138	1	0	3	125	106.5	148
Pharmacology				73	43	101		88.5	
Pharmacotherapy									
Pharmgenomics Pers Med									
Philos Ethics Humanit Med				305	234	402.5	359.5	69.5	
Phonetica				205	151.5	289		243.5	
Photoacoustics									
Photochem. Photobiol.				83.5	58	121.5			
Photodiagnosis Photodyn Ther	223	190	255.5	105	75.5	152.5	343	285	375.5
Photosyn. Res.	127	67	176.5	106	77	134	246	214.5	272.5
Phys Fluids (1994)	72	72	174	187	114	217	288.5	288	289
Phys Life Rev	59	37	85	3	1	5	61	39	95
Phys Med	356	263.5	397	135	97.5	185.5	494	400	541
Phys Plasmas									
Phys Rev E Stat Nonlin Soft Matter Phys							127	82	188.5
Phys Ther Sport	348.5	323	389.5	208	132	323	598	509.5	665
Phys. Rev. Lett.							147	108	192
Physiol Mol Biol Plants									
Physiol Plant	249	212	269	70	57	105	319	282.5	353
Physiol Rep	23	14	34	22	9	41	48	31	61
Physiol. Behav.	39	28	60	156	109	227	211	159	305
Physiother Res Int	333	284	368	175	130	254	499	444	605
Physiotherapy	344	287	379	209	181	257	542	500	612
Phytochem Anal				105	86	150			
Phytochem Rev									
Phytochemistry	113	100	135	154	107	202	273	223	355
PhytoKeys				114	75	150		164	
Phytomedicine	118	109	135	90	64	119.5	217	176	246
Phytother Res	322.5	309	335	122.5	78	172	446	401	498
Pigment Cell Melanoma Res	85.5	79	105	114	87.5	172	197	164	261.5
Placenta	82	72	93	90	62	126	168	141	215
Planet Space Sci									
Plant Biol (Stuttg)	244	132	298	87	55	142	340.5	230	390
Plant Biotechnol Rep									
Plant Biotechnol. J.	146	132.5	168.5	79.5	59	111.5	234	196	269
Plant Cell Environ.	206.5	180	225	102	76	159	311	263	373
Plant Cell Rep.	104	84	121	70	48	87	171	149	194
Plant J.	93	84	101	90	55	122	186	145	219
Plant Methods				75.5	49	121		116	
Plant Mol. Biol.	69	54	126	128	86	184.5	220	160	275
Plant Pathol. J.	160	141.5	174	80	37	122	250	206	270
Plant Physiol. Biochem.	88	78	102	84	54	121	179	132	226
Plant Reprod	69	68	113	50	40.5	68	123	114	165.5
Plant Sci.	100	90	108	86	63	112	185	161	214
Planta	101	87	113	67	39.5	99	169	141	199
Plasmid	118	99.5	146	85	60.5	119	211	205	229
Plasmonics		199		90	86	90	392.5	186	
Plast Reconstr Surg Glob Open	45	40	58	107	55	133	153	98	198
Plast Surg Int				63	53	97		103	
PLoS Biol.				151	118	198.5	179	86.5	
PLoS Comput. Biol.				149	116	193		94.5	
PLoS Genet.		48.5		138	98	183	444.5	130	
PLoS Med.				170	139.5	205.5	127	54	
PLoS Negl Trop Dis				148	107	194		87	
PLoS ONE				107	77	149		108	
PLoS Pathog.				143	106	193		91	
PM R	140	106	167.5	149	81	214	305	237	367
Pneumonol Alergol Pol				0	0				
Pol J Radiol	46.5	21		53.5	43	108	74	31	135
Pol Orthop Traumatol									
Popul Health Metr				344	279	374	276	64	330
Popul Res Policy Rev									
Postepy Dermatol Alergol	80	38.5	120	142	82.5	175.5	234	135	260
Postepy Kardiol Interwencyjnej				75	34.5	126			
PPAR Res				78	53	100		40	
Pract Radiat Oncol				75	48	106			
Prenat. Diagn.	122	98	132	100	69	140	215	177	245
Presse Med	193	94	311.5	45	14	107	311.5	120	413
Prev Med	97	80	128	129	99	162	229	184	273
Prev Nutr Food Sci	27.5	9.5	55	69	33	121.5	99.5	75	146
Prev. Vet. Med.	122	97	170	189	138	240.5	316	249	395
Prim Care Companion CNS Disord				78	47.5	119	281	74	
Prim Care Diabetes	154	107	190	123	93	196	288	236	416
Primates	143	101	162.5	145	113	241	297	231	381.5
Probl Radiac Med Radiobiol									
Proc. Math. Phys. Eng. Sci.	96	93	99	61	40	71	156	142	167
Prog Nucl Magn Reson Spectrosc	153	99	171	60.5	41.5	109	203	156	270
Prog Orthod				189	49	433	296	178	
Prog Retin Eye Res	135	80	155.5	105	69.5	141.5	225	207	286
Prog. Biophys. Mol. Biol.	85	44	151	93	68	146	180	131	329
Prog. Lipid Res.	95	75	125	96	63	144	209	163	241
Prog. Neurobiol.	159	92	317	123	85	184	400	225	470
Prog. Neuropsychopharmacol. Biol. Psychiatry	125	104	155	79.5	59	103	205	178	246
Prog. Urol.	144	79	172	21	2	77.5	172	127	242
Prostaglandins Leukot. Essent. Fatty Acids	81.5	62	101	95	63	133	191	146	288
Prostaglandins Other Lipid Mediat.	221	125		124	79	193	335	245	
Prostate	158.5	138	195	75.5	46	129	252	210	292
Prostate Cancer				80	69	118		66.5	
Prostate Cancer Prostatic Dis.	143	119.5	176	83.5	71.5	150	221	199.5	300
Prostate Int				70	25	141			
Protein Cell	65	40	81	37.5	20	63	97	70	159
Protein Expr. Purif.	74	65	84	62	44	89	142	114	165
Protein Pept. Lett.	220	191	264.5	94	64.5	126	311	271	415
Protein Sci.	73	62	78	61	44	80	134	114	158
Proteins	152	136	175	95	68	127	247	221.5	290
Proteome Sci				141.5	110	191		78	
Proteomics	89	71	107	124	82	174	226	179	284
Proteomics Clin Appl	95	48	156	102	73	159	175	136	309
Protist	74	60	92	133	77	200	221	156	328
Protoplasma	250	202	284.5	79.5	47	104.5	319	284	382
Prz Gastroenterol				86	46	109.5		248.5	
Psych J									
Psychiatry Clin. Neurosci.	195	113	221	234	154.5	307	416	339	565
Psychiatry Investig	154	126	204.5	72	44.5	116	252	190	315
Psychiatry J				86	55	120		34	
Psychiatry Res	177	140	219	230	166	304	399.5	340	495
Psychogeriatrics	155	124	181.5	151	103.5	205	309	229.5	452
Psychol Psychother							648	574	831
Psychol Res	368	341	415	135	100	182.5	519	467.5	593.5
Psychometrika							605	534	737
Psychoneuroendocrinology	166	116	232	131	91.5	168	300	254	357.5
Psychooncology	303.5	182	373	160.5	117.5	207.5	458.5	344	558.5
Psychopathology	215	129	244	179	126.5	296.5	388.5	285.5	507.5
Psychopharmacology (Berl.)	157	146	171	119	84	165	283	238	329.5
Psychophysiology	127	110	152	163	117	238	294	235	381
Psychosis									
Psychosomatics				44	27	89.5			
Psychother Psychosom	222	108		160	90	235	182	88	368
Public Health	93	80.5	119	277	171	378	377	291	498
Public Health Ethics									
Public Health Genomics				103	85.5	141.5		134.5	
Pulm Med				76	51	97		56	
Pulm Pharmacol Ther	202	150	265	95	62	147	300.5	260	399
Purinergic Signal.	172	156.5	210.5	65	49.5	94.5	248	209	281
Qatar Med J				91	14	93.5			
Quant Imaging Med Surg		19		30	27	32	34	9	51
Quat Geochronol									
Radiat Environ Biophys	108	84	127	141	108	177.5	239	208.5	281
Radiat Oncol				108	79.5	147		149.5	
Radiat Oncol J	45	25.5		71.5	40	86	102	67.5	119
Radiol Med	546	475	585	60	42	91.5	613	568	666
Radiol Oncol		143.5		61	32	108	223	165.5	
Radiol Phys Technol	107.5	54.5	151	124	89	161	215	173	303.5
Radiol Res Pract				95	68	110			
Radiologia				120	92	172			
Radiother Oncol	65	46	90	154	93	230	216	141	306
Rapid Commun. Mass Spectrom.	99	92	105	68	49	97	168	147	196
Rare Dis				35	18	77			
Rare Tumors		91		79	60	103.5		144	
Recent Pat Anticancer Drug Discov	221	203	265	24	5	30	227	214	277
Recent Pat Antiinfect Drug Discov									
Recent Pat Biotechnol									
Recent Pat Cardiovasc Drug Discov									
Recent Pat CNS Drug Discov	27	25	109	40	30	64	60	54	189
Recent Pat DNA Gene Seq	327	304	338.5	219	88	236	528.5	417	563
Recent Pat Drug Deliv Formul	222	207.5	227.5	85	72.5	88	307	284.5	310
Recent Pat Endocr Metab Immune Drug Discov	44	29	122	55.5	29	97	144.5	73	185
Recent Pat Food Nutr Agric									
Recent Pat Inflamm Allergy Drug Discov	47.5	30	165	52	35	84	133	85	200
Recent Pat Nanotechnol	194	162.5	232	91	50.5	123.5	305	237.5	320
Redox Biol				19	8	30			
Regul. Pept.	67	53	83	190	149.5	254.5	263	232	309
Regul. Toxicol. Pharmacol.	96	85	106	120	80	166	233	176	275
Rehabil Nurs									
Rehabil Res Pract				98.5	78	156			
Rep Pract Oncol Radiother		294.5		162	120.5	207	346	105.5	769
Reprod Biol	88	63	139	150	109	233	255	183	376
Reprod Health				114	64.5	211		152	
Reprod. Biol. Endocrinol.				93	70	132		84	
Reprod. Biomed. Online	102	89	115	131.5	69	165	234	176	285
Reprod. Domest. Anim.	213.5	181	238	112.5	70	134	313	282	369
Reprod. Fertil. Dev.	135	68	196	111	66	160	241	188	292
Reprod. Med. Biol.									
Reprod. Toxicol.	125	106	147	155	108	225	276	236	381
Res Cardiovasc Med	124	86	155	48	6.5	109	170	142	228
Res Dev Disabil	93	83	106	74	52	102	169	144	200
Res Gerontol Nurs	130	62	256	146	119	192	297	184	482
Res Social Adm Pharm				108	71.5	178			
Res Synth Methods									
Res. Microbiol.	125	108		95	78.5	121.5	247	197.5	
Res. Vet. Sci.	148	116	183.5	180	126	251.5	318	279	399
Respir Investig	183	158	211	102	73	156	298	254.5	345.5
Respir Med	100	85	118.5	109	74	142.5	206.5	177	257
Respir Physiol Neurobiol	99	83	117.5	85	60	120	190	162	247
Respir. Res.				106	85	152		37.5	
Respiration	314.5	158		114	81	154	331.5	175	
Respirol Case Rep	118	74	138	20	16	29	137	97.5	164.5
Respirology	178	111	192	101	65	162	286	224	344
Restor Dent Endod	25.5	18.5	41.5	48	30.5	61.5	66	61	86.5
Results Immunol				59	50	110			
Resuscitation	164	128	189	103	73	140	264	224	320
Retrovirology				119.5	64	156		75	
Reumatismo				120	42	171		75	
Reumatol Clin				97.5	65	126			
Rev Assoc Med Bras				79	52	225			
Rev Bras Anestesiol				69	39	132			
Rev Bras Cir Cardiovasc	123	62		97	64	137	195	158	
Rev Bras Enferm				451	2	598.5			
Rev Bras Epidemiol	277.5	173	373	326	230	405	552.5	491	735
Rev Bras Ginecol Obstet	78	25.5		97	41.5	192	171	101.5	322
Rev Bras Hematol Hemoter				43	7	92		124	
Rev Bras Parasitol Vet				116	81	151			
Rev Bras Psiquiatr				117	85	186			
Rev Bras Reumatol		108		310	165	380.5		432.5	
Rev Bras Ter Intensiva				97	71.5	161.5		135	
Rev Calid Asist				122	80	170			
Rev Chilena Infectol	59	36.5	71.5	159.5	96	252.5	213.5	164.5	309.5
Rev Clin Esp (Barc)	251	184		67	45	89	319	259	
Rev Col Bras Cir				61	34	65			
Rev Environ Health				52	32	83			
Rev Epidemiol Sante Publique	171	143	218	250	175	350	458	328	543
Rev Esc Enferm USP	204.5	125	233.5	255	188	373	495	403	560
Rev Esp Anestesiol Reanim	369	180		102	75	145	469	351	
Rev Esp Cardiol (Engl Ed)	169.5	133	218	42.5	13	104	265	177	328
Rev Esp Cir Ortop Traumatol				91.5	62.5	127.5			
Rev Esp Geriatr Gerontol				89	43	138			
Rev Esp Med Nucl Imagen Mol		412		41.5	30	62.5		448.5	
Rev Esp Sanid Penit		209		143.5	62	246	174	41	307
Rev Gastroenterol Mex				119	74	156			
Rev Iberoam Micol				153.5	66	221			
Rev Lat Am Enfermagem				207	93	289			
Rev Mal Respir	201	145	234	146	89	282	391.5	287	463
Rev Med Chil	115	71	142	163	115.5	240	269	225	395
Rev Med Interne	184	135	283	61	6	173	292.5	142	465
Rev Neurosci				37	29	67		172	
Rev Paul Pediatr	208	159		148	127	163	390	317	
Rev Peru Med Exp Salud Publica		67		69	34	132	109.5	46	185
Rev Philos Psychol									
Rev Pneumol Clin	157	86	216	97	77	175	304	191	327
Rev Port Cardiol	236	190	269	57	22	140	335	252	424
Rev Port Cir Cardiotorac Vasc									
Rev Port Pneumol				159	100.5	200			
Rev Psiquiatr Salud Ment				110	55	173			
Rev Recent Clin Trials									
Rev Relig Res									
Rev Salud Publica (Bogota)				73.5	59	127.5			
Rev Saude Publica	177	118.5	200	239.5	163	343.5	422	295.5	535
Rev Stomatol Chir Maxillofac Chir Orale	81	52	108	233	152.5	386	376	267	466
Rev. Argent. Microbiol.									
Rev. Inst. Med. Trop. Sao Paulo				122.5	75	193		344	
Rev. Invest. Clin.				178	123	256			
Rev. Med. Virol.	137	95	229.5	74	49.5	104	241	162	328.5
Rev. Neurol. (Paris)	207	85		94	29	163	370	166	
Rev. Panam. Salud Publica	64	25	134	271	217.5	328.5	311	272.5	352.5
Rev. Soc. Bras. Med. Trop.				111	76.5	144.5			
Rheumatol. Int.	250.5	171	375	168	122	224	448	393	531
Rice (N Y)				123	111	144		96.5	
S Afr J Surg	33	14	82.5	333	195	418.5	357	290.5	445
S. Afr. Med. J.	107	55	163	41	9	89	173	110	234
Saf Health Work	64	36	83.5	100.5	55.5	169	156	115	222.5
Salud Colect	54	30	86	153	130	183	216	168	265
Salud Publica Mex		576.5		64.5	48	263.5	296.5	10	
Sao Paulo Med J	289	87		55.5	14	115	159	85	312
Sarcoidosis Vasc Diffuse Lung Dis									
Sarcoma				82.5	50	112			
Saudi Dent J	67	39	89	140	85	165	216	143	233
Saudi J Biol Sci	135	78	202	52	32	84	195	144	261
Saudi J Ophthalmol	91	51	255	147	106	201	258	195	395
Saudi Pharm J	360	329	398	46	37	73	406	385	448
Scand J Caring Sci	391	374	416	165	87.5	205	534.5	482.5	604
Scand J Psychol	151	141	177	179	94	266	339	261	397
Scand J Trauma Resusc Emerg Med				126	88	156		27	
Scand. J. Immunol.	91	76	104	77	55.5	117	176	137.5	222.5
Scanning				58	41	83			
Schizophr Res Treatment				80	67	113			
Schizophr. Res.	77	70	87	122	92	165	206	173	247
Sci China Life Sci	53	34	76	57.5	28	105.5	118.5	68.5	185.5
Sci Eng Ethics	395	322	446	116	84.5	151	528	475.5	630
Sci Pharm	159	110.5		56	42.5	113.5	243	144	
Sci Rep				79	53	115.5		135	
Sci. Justice	179	134	268	94	67	202	336	256	423
Sci. Total Environ.	103	79	127	96	64	134	200	155	260
Scientifica (Cairo)				30	22	36			
ScientificWorldJournal				37	27	49			
Scientometrics							351.5	111	360
Scoliosis				149.5	50	225		179	
Seizure	117	104.5	152	95.5	68	133	223.5	179	276
Semergen	499	383.5		73	46	117	648	447	
Semin Immunopathol	107	74	164	94	44	146	215	169	268
Semin. Arthritis Rheum.	213.5	187	237	88	52	117.5	304	271	341.5
Semin. Cancer Biol.	119	95	220	65.5	23	88	193.5	141	327
Semin. Cell Dev. Biol.	73	42	107	87	39	117	153	111	226
Semin. Immunol.				79	44.5	91.5	81	51	276
Semin. Ultrasound CT MR									
Sens Actuators B Chem									
Sens Imaging									
Sensors (Basel)				49	38	63			
Sep Sci Technol									
Sex Health	162	135	200	131.5	75	157	268	237	370
Sex Reprod Healthc	80	53.5	99	228	139	342	301	226.5	454
Shanghai Arch Psychiatry	105	81	156.5	77	66.5	97	202	170	226
Silence									
Skelet Muscle				109	79	118		57	
Skeletal Radiol.	135.5	109	179	103	77	145.5	246.5	208	307
Skin Pharmacol Physiol		251		93.5	74.5	123	258.5	61.5	
Skin Res Technol									
Sleep Breath	315	262.5	353.5	112.5	86	131.5	437	387.5	462
Sleep Disord				79	67	100			
Sleep Med Rev	336	312	375	133	92	226	495	428	556
Sleep Med.	127.5	103	164	117	90	154	269	229	290
Small							264	222	298
Soc Psychiatry Psychiatr Epidemiol	225	206	249	169	128.5	245.5	400	338.5	479
Soc Sci Med	92.5	74	112.5	224	169.5	317	324	270	436
Soc Sci Res	123	114	144	297	228.5	469	447.5	357	580
Socioaffect Neurosci Psychol				94	89	100.5			
Soft Matter									
Solid State Nucl Magn Reson		120		99	71	109		175	
Somnologie (Berl)									
Source Code Biol Med				145.5	63	164		47	
Spat Spatiotemporal Epidemiol	86	50	136	225	144	488.5	311	263.5	559.5
Spectrochim Acta A Mol Biomol Spectrosc	113	94	139	93	62	127	211	170	262
Spermatogenesis		28		32	1	88		101	
Spinal Cord	105	96	131	117	78	149	228	195	261
Spine J	146	103	210	313	201	441	499.5	357	607
Sport Sci Health									
Springerplus		320		78	51	116		385	
Stat Biosci									
Stat Med	209	187	231	304	232.5	425	520	427.5	631.5
Stem Cell Reports				99	64.5	152			
Stem Cell Res	97	88	116	157	113	210.5	259.5	219	310
Stem Cell Res Ther				154	102	201		111	
Stem Cells	122	109.5	135	130.5	79.5	156.5	248.5	205	279
Stem Cells Int				103	62	146			
Stereotact Funct Neurosurg	90	48		220	156	299	284	192	386
Steroids	102.5	89	116	106	75	148	218.5	171	253
Strahlenther Onkol	105	86	128	100.5	63	124.5	203	179	244
Strategies Trauma Limb Reconstr	62	39	88	248	194.5	316	327	255.5	402.5
Stress Health	345	309	412.5	184	132	248.5	530.5	438	683.5
Stroke Res Treat				60	46	99		51	
Structure	63	53	70	90	63.5	112	155	123.5	177
Stud Hist Philos Biol Biomed Sci	116	74.5	144.5	147	117	234	296	206.5	339.5
Subst Abuse Treat Prev Policy				144.5	110	178		125	
Suicide Life Threat Behav	186	176	213	121	63	213	322	246	427
Sultan Qaboos Univ Med J	123	95	139	144	107	183	268	229	318
Support Care Cancer	148	137	163	152	118	195	309	260	358
Surf Interface Anal									
Surf Sci									
Surg Endosc	192	173	208	105	77	144	294	261	338
Surg Neurol Int				56	20.5	96			
Surg Obes Relat Dis				101	25	173			
Surg Oncol	104	88	117	60	35	82	176	122	197
Surg Radiol Anat	230	208	251	137	82.5	178	366	302	419.5
Surg. Today	430	396	482	117	81	187	558	502	637
Surgeon	208	144	262	80	40	117	287	249	376
Surgery	160	113	203	125.5	91	172	274.5	220	390
Surv Ophthalmol				168.5	108.5	283			
Symbiosis									
Synapse	162	136	177	104	77	126	264.5	229	296
Synth Met									
Syst Rev				85	53	119.5			
Syst Synth Biol	57	53	158	111	69.5	218	263	172	351.5
Syst. Appl. Microbiol.	106.5	91	130	109	80	159	213	196	268
Syst. Parasitol.	76	53	91	89	57	126	168	147	191
Talanta	123.5	94	174	87.5	63	110	220	171	266
Tanaffos				99	63	146.5		144	
Target Oncol	135	70	345	77	56	134	285	154	482
Tech Coloproctol	224	186	264	105	55	184	356	295	430
Tetrahedron Lett.									
Theor Biol Med Model				89	49	139			
Theor Ecol									
Theor Popul Biol	85	80	110.5	196	148	297.5	294	235	423.5
Theor. Appl. Genet.	102	89	111	133	101	183	224	200	291
Theory Biosci.	194.5	173	218	148	112	258	359	265	500
Ther Apher Dial							124	101	132
Ther Clin Risk Manag									
Theranostics				54.5	32	82.5		71.5	
Therapie				91.5	41	234.5			
Theriogenology	107	95	125	117.5	77	176	227.5	183	287
Thin Solid Films									
Thorac Cardiovasc Surg Rep	221	179	274	56.5	41.5	91.5	289.5	243	322
Thromb J				99	81.5	147			
Thromb. Haemost.	91	81	103	99	60	135	205	153	246
Thromb. Res.	65	52	90	95	72	127	169	142	223
Thrombosis				97	69	132		122.5	
Thyroid Res				25.5	11.5	54.5			
Ticks Tick Borne Dis	136	128	157	105	73	160	247	192	360
Tierarztl Prax Ausg G Grosstiere Nutztiere				113.5	69	197		158	
Tierarztl Prax Ausg K Kleintiere Heimtiere	159.5	99.5		144	98.5	203	259.5	188.5	427.5
Tissue Antigens	87.5	66.5	101	67	34	110	146	128	191.5
Tissue Barriers	69	41		45	23	72	98	48	136
Tissue Cell	151	126	178	155	105	221	315	261	389
Tob Induc Dis				83	48	115.5			
Tokai J. Exp. Clin. Med.	78.5	47	120	39	23	101	141	136	172
Top Cogn Sci	178	128	305	191	84.5	331	460	338.5	501
Toxicol In Vitro	103.5	76.5	141	142.5	95.5	221.5	255	197.5	346
Toxicol Res				33	25	50	52	29	
Toxicol. Appl. Pharmacol.	89	76	114	82	61	112	173.5	147	224
Toxicol. Lett.	77	72	83	64	47	101.5	146	126	181
Toxicology	74	58	86	56	40	69	129	111	152
Toxicon	100	90	131	125.5	92	162.5	238	210.5	281.5
Toxins (Basel)		8		50	35	70	55	37	75
Traffic	87	78.5	100	148	67	223	221	169	287
Transbound Emerg Dis							350	335	794
Transfus Clin Biol	88	67	127	35	17	122	122.5	85	278
Transfus Med	121	96.5	138	109.5	81	178	258	195.5	328
Transfus Med Hemother	72	32	186.5	65	47	91	127	94	249
Transfus Med Rev	61	43	118	66	40	85	146	108	172
Transfus. Apher. Sci.	118	89	184	204.5	154	263	359	280	425
Transfusion	285	252	307	81	57	118	369	325	409
Transgenic Res.	212	185.5	238	112	80.5	161.5	325	273	391
Transl Neurodegener				93	66	124		71	
Transl Oncol	99	74		55	33	80	143	129	
Transl Psychiatry				111	71.5	159.5			
Transl Res	118.5	104	159	75	51	101	209	152	254
Transl Stroke Res	155	63	206	35.5	20	83	225	134	266
Transl Vis Sci Technol	33	11	82	114	76	153	141	86	186
Translation (Austin)									
Transpl Infect Dis	221	155	251	129.5	89	172	333.5	266	405
Transpl. Immunol.	53	46	71	73	53	103	121	102	157
Transpl. Int.	94	78	102	117	94	183	216	182	293
Transplant Res				127	97	148		190	
Transplant Rev (Orlando)	68	62	71	41.5	22	115	109.5	90	177
Transplant. Proc.	196	127		52.5	32	95	293	168	
Trauma Mon	89	57		82	43	138	185	78	305.5
Travel Med Infect Dis				128	56	193			
Tremor Other Hyperkinet Mov (N Y)				56.5	35	99.5		175.5	
Trends Biochem. Sci.	72	62	85	76	60	91	149	137	172
Trends Biotechnol.	72	61	96	50	25.5	77	132.5	117	157
Trends Cardiovasc. Med.	225	214.5	250	42	28.5	56	268	253	297
Trends Cell Biol.	133	117	141	59	49	74	189	172	210
Trends Cogn. Sci. (Regul. Ed.)	46.5	39	58	26	0	50	78.5	47	103
Trends Ecol. Evol. (Amst.)	109	89	126	116	65	179.5	246	174	283.5
Trends Endocrinol. Metab.	110	92.5	130.5	58	43	74	168	145.5	203.5
Trends Genet.	102	76	133	79	54	101	197	148	226
Trends Immunol.	118	98	133	66	46	83	179	167.5	215
Trends Microbiol.	72	64	86	47	35	56	122	104	151
Trends Mol Med	71	57	93	91	73	125.5	166.5	143.5	210.5
Trends Neurosci.	87	55	98	78	56	109	163	133	211
Trends Parasitol.	60	54	74	41.5	32	69	104	91	130
Trends Pharmacol. Sci.	55.5	49	62	68	51	85	125	110	145
Trends Plant Sci.	96	85	125	81	70	113	194	167	224
